director_name,gross
Anthony Hemingway,49875589.0
David S. Ward,49797148.0
Rod Lurie,49650799.0
Jane Campion,49315510.0
Dwight H. Little,49294393.0
Nicholas Hytner,48988266.0
Aaron Seltzer,48546578.0
Robin Budd,48423368.0
Tom Holland,48416159.0
Jennifer Flackett,48006503.0
Cedric Nicolas-Troyan,47952020.0
Simon Curtis,47902442.0
Steve Trenbirth,47887943.0
Mennan Yapo,47852604.0
Bille Woodruff,47605622.0
Michael Hoffman,47437811.0
Christophe Gans,46982632.0
Christian Ditter,46813366.0
Griffin Dunne,46611204.0
Sarah Smith,46440491.0
Stanley Kramer,46300000.0
Paul Weiland,46012734.0
Patrick Tatopoulos,45802315.0
Clare Kilner,45693818.0
Jun Falkenstein,45542421.0
Brian Gibson,44834712.0
Elizabeth Allen Rosenbaum,44757122.0
Christopher Cain,44726644.0
Michel Hazanavicius,44667095.0
Eugenio Derbez,44456509.0
Michael Rymer,44310945.0
Danny Cannon,44269585.0
Fernando Meirelles,44202164.0
Theodore Melfi,44134898.0
Bernardo Bertolucci,43984230.0
Gary David Goldberg,43894863.0
Nelson McCormick,43818159.0
Shana Feste,43728548.0
Jerome Robbins,43650000.0
Audrey Wells,43601508.0
Scott Waugh,43568507.0
Chris Kentis,43056112.0
Jim Fall,42672630.0
Stuart Gillard,42660000.0
Michael Dougherty,42592530.0
Lee Toland Krieger,42478175.0
Danny DeVito,42284315.0
Jorge Blanco,42194060.0
Karyn Kusama,42062780.0
Drew Goddard,42043633.0
Tim Robbins,41924970.0
Tim McCanlies,41407470.0
Todd Field,41378253.0
Daniel Stamm,40990055.0
Richard Fleischer,40900000.0
Ken Scott,40873830.0
David Lynch,40817444.0
Morgan Spurlock,40402742.0
Perry Andelin Blake,40363530.0
David Mirkin,40334024.0
Beeban Kidron,40203020.0
Pitof,40198710.0
Chris Stokes,40066497.0
Billy Bob Thornton,40002541.0
Cathy Malkasian,39880476.0
Xavier Gens,39709528.0
Harry Elfont,39591947.0
Joe Camp,39552600.0
Steve Antin,39440655.0
John Eng,39399750.0
Patrick Hughes,39292022.0
Gurinder Chadha,39142798.0
Rachel Talalay,38936626.0
Dave Green,38916903.0
James Marsh,38845241.0
Steven Seagal,38590500.0
Phil Joanou,38432823.0
John Crowley,38317535.0
Carl Rinsch,38297305.0
Mike Nawrocki,38273231.0
Paul Michael Glaser,38122105.0
James Foley,38093845.0
Sean Penn,38072384.0
Joel Gallen,37882551.0
Kerry Conran,37760080.0
Joan Chen,37752931.0
John Hoffman,37566230.0
Alan Poul,37481242.0
Christian E. Christiansen,37300107.0
Nicolas Winding Refn,37164301.0
Edward Norton,37036404.0
Neil Marshall,36961333.0
Mira Nair,36942746.0
Chris Nahon,36833473.0
Chuck Sheetz,36696761.0
Don Siegel,36500000.0
Nicole Holofcener,36368077.0
Camille Delamarre,36313384.0
Todd Graff,36125510.0
Walter Hill,36101317.0
Barry Cook,36073232.0
Diane Keaton,36037909.0
Cecil B. DeMille,36000000.0
Henry Koster,36000000.0
Andrew Bergman,35754405.0
Dan Mazer,35537564.0
Gregory Nava,35422828.0
Joseph Ruben,35324232.0
Jake Schreier,35315702.0
Justin Chadwick,35139705.0
Scott Speer,35057332.0
Oliver Parker,35042787.0
Christian Duguay,35035073.0
Todd Strauss-Schulson,35033759.0
Mark Helfrich,35000629.0
J Blakeson,34912982.0
Robert Harmon,34882660.0
Martin Lawrence,34746109.0
Liz Friedlander,34703228.0
Florent-Emilio Siri,34636443.0
James Gray,34579114.0
Peter Landesman,34531832.0
George Armitage,34485930.0
Tommy O'Haver,34473936.0
Patty Jenkins,34468224.0
Kevin Tancharoen,34313048.0
Peter Sollett,34094265.0
Ari Sandel,34017854.0
Mark Romanek,34009176.0
Kelly Makin,33864342.0
Phil Traill,33860010.0
Matt Williams,33771174.0
Jonathan Hensleigh,33682273.0
Kent Alterman,33472850.0
Steven E. de Souza,33423521.0
John Patrick Shanley,33422556.0
Sheldon Lettich,33376305.0
Dinesh D'Souza,33349949.0
Michael Schultz,33000000.0
Marcus Raboy,32983713.0
John Gatins,32701088.0
Bonnie Hunt,32662299.0
Joseph Zito,32600000.0
Steve Bendelack,32553210.0
Christopher Landon,32453345.0
Grant Heslov,32416109.0
Mike Figgis,32368140.0
Stanley Tong,32333860.0
Dan Gilroy,32279955.0
Leslie Small,32230907.0
Marco Schnabel,32178777.0
Hayao Miyazaki,32140315.0
Hironobu Sakaguchi,32131830.0
Tony Goldwyn,32080020.0
Patrick Read Johnson,32041078.0
Tim Blake Nelson,32034806.0
Alfred Hitchcock,32000000.0
Walter Salles,31786148.0
Shane Acker,31743332.0
Kirsten Sheridan,31655091.0
Mark Tonderai,31607598.0
Craig Brewer,31598123.0
Jim Field Smith,31584722.0
Dexter Fletcher,31571264.0
Levan Gabriadze,31537320.0
David Moreau,31397498.0
Christopher Erskin,31179516.0
Derek Cianfrance,31084857.0
Zach Braff,30370155.0
John Fortenberry,30324946.0
Bob Dolman,30306281.0
Rick Rosenthal,30259652.0
Rowdy Herrington,30050028.0
Jack Sholder,30000000.0
Michael Spierig,29975979.0
Joe Nussbaum,29878634.0
John McNaughton,29753944.0
Kinka Usher,29655590.0
Craig R. Baxley,29543314.0
Sara Sugarman,29302097.0
Bob Spiers,29247405.0
Thomas Bezucha,29241062.0
Mark Rydell,29200000.0
Susanna White,28995450.0
Ed Decter,28972187.0
Joe Charbanic,28927720.0
Juan Carlos Fresnadillo,28637507.0
Philip Kaufman,28560876.0
John Lafia,28501605.0
Greg Coolidge,28435406.0
John Stainton,28399192.0
Vic Armstrong,27996564.0
Gene Quintano,27979400.0
David Raynr,27919544.0
Daniel Barnz,27854896.0
Ciarán Foy,27736779.0
Mike Flanagan,27689474.0
Peter Webber,27667947.0
Gary Hardwick,27457409.0
Brian Henson,27281507.0
Christopher Guest,27055856.0
Kirk Wong,27052167.0
Jeff Nichols,27027070.0
Rick Friedberg,26906039.0
Diane English,26896744.0
Eric Valette,26876529.0
Courtney Solomon,26792540.0
Stephen J. Anderson,26687172.0
Ethan Maniquis,26589953.0
Jason Zada,26583369.0
Bronwen Hughes,26539321.0
Joe Berlinger,26421314.0
Lone Scherfig,26340729.0
Patrick Gilmore,26288320.0
J.A. Bayona,26155902.0
Troy Miller,26096584.0
Tom Gormican,26049082.0
Des McAnuff,26000610.0
Scott Frank,25977365.0
Masayuki Ochiai,25926543.0
Craig Mazin,25884830.0
David Gelb,25799043.0
Jon Lucas,25675765.0
Damien Dante Wayans,25615792.0
John Carney,25606674.0
Richard Benjamin,25570664.0
Olatunde Osunsanmi,25464480.0
Alex Garland,25440971.0
Dan Cutforth,25240988.0
Pat O'Connor,25178165.0
Robert Eggers,25138292.0
Gary McKendry,25093607.0
Anthony Bell,25077977.0
Michael Anderson,25000000.0
Billy Wilder,25000000.0
Jesse Peretz,24809547.0
Joseph Gordon-Levitt,24475193.0
Andy Cadiff,24379028.0
John Herzfeld,24375436.0
Tomas Alfredson,24104113.0
Troy Nixey,24042490.0
Jody Hill,23993605.0
Rob Pritts,23978402.0
William Wyler,23650000.0
Ron Maxwell,23640529.0
Christian Alvart,23574539.0
Terry George,23472900.0
Kevin Allen,23408438.0
Glen Morgan,23087437.0
Alister Grierson,23070045.0
Ice Cube,23031390.0
Paul Hunter,23020488.0
Wally Pfister,23014504.0
Sergey Bodrov,22955774.0
Nigel Cole,22930582.0
Brandon Camp,22927390.0
Peter R. Hunt,22800000.0
Travis Cluff,22757819.0
Martin McDonagh,22746891.0
Frederik Du Chau,22717758.0
Don Scardino,22525921.0
Philip G. Atwell,22466994.0
Dean Israelite,22331028.0
Mike Bigelow,22264487.0
Mark Brown,22235901.0
Jeremy Leven,22200000.0
Jaume Balagueró,22187109.0
Gordon Chan,22108977.0
Michael Mayer,22027726.0
Kasi Lemmons,21838709.0
Justin Zackham,21784432.0
David E. Talbert,21564616.0
Nat Faxon,21501098.0
George A. Romero,21487615.0
Brian Percival,21483154.0
Roger Christian,21471685.0
John Ottman,21468807.0
Chris Gorak,21426805.0
Rand Ravich,21309162.0
Danny Steinmann,21300000.0
Joseph Kahn,21176322.0
Ernest R. Dickerson,21088568.0
Don Michael Paul,21055845.0
Chris Carter,20981633.0
Annabel Jankel,20915465.0
Lisa Cholodenko,20803237.0
Martin Weisz,20801344.0
Harold Cronk,20773070.0
Joseph Sargent,20763013.0
Robert Duvall,20733485.0
Oliver Hirschbiegel,20573454.0
Peter Atencio,20566327.0
Nick Hurran,20422207.0
John Gray,20400913.0
King Vidor,20400000.0
Richard Glatzer,20346399.0
Robert Ben Garant,20339754.0
Jim Sonzero,20259297.0
Juan José Campanella,20167424.0
Alan Shapiro,20047715.0
Kris Isacsson,20035310.0
Jean-François Richet,19976073.0
DJ Pooh,19918431.0
Todd Haynes,19856109.0
