actor_1_name,gross
Luke Newberry,18381787.0
Tim Meadows,18317151.0
Grace Phipps,18298649.0
Lochlyn Munro,17969502.0
Devin Ratray,17871573.0
Stephen Collins,17843379.0
Olivia Williams,17789458.0
Jason London,17757087.0
Warren Christie,17683670.0
Christopher Nicholas Smith,17536788.0
Phil Davis,17508670.0
Kimberly Elise,17474107.0
Bob Neill,17473245.0
Samaire Armstrong,17324744.0
Ashley Rickards,17314483.0
Amanda Schull,17174870.0
Shengyi Huang,17104669.0
Alexander Skarsgård,17099609.0
Jamie Kennedy,17010646.0
Woody Strode,17000000.0
Oliver Reed,16800000.0
Ornella Muti,16684352.0
Reba McEntire,16667084.0
Jason Priestley,16459004.0
Mike Howard,16377274.0
Paul Sorvino,16315694.0
Romola Garai,16210949.0
Joseph Gilgun,16110251.0
Ahna O'Reilly,16097842.0
Mary-Kate Olsen,16095410.0
Ursula Andress,16067035.0
Steve Oedekerk,16033556.0
Ed Skrein,16027866.0
Pam Ferris,16005978.0
Mustafa Haidari,15797907.0
Cole Hauser,15712072.0
Gretchen Mol,15539852.0
Andy Dick,15464026.0
Thomas Lennon,15408822.0
Claudia Christian,15361537.0
Tom Hughes,15294553.0
Byron Mann,15156200.0
Yaya DaCosta,15155772.0
Mia Farrow,15131330.0
Rumi Hiiragi,15081783.0
Mark Valley,14983572.0
Heather Matarazzo,14969766.0
